emp_no,from_date,to_date
10001,1986-06-26,9999-01-01
10002,1996-08-03,9999-01-01
10003,1995-12-03,9999-01-01
10004,1986-12-01,9999-01-01
10005,1989-09-12,9999-01-01
10006,1990-08-05,9999-01-01
10007,1989-02-10,9999-01-01
10008,1998-03-11,2000-07-31
10009,1985-02-18,9999-01-01
10010,2000-06-26,9999-01-01
10011,1990-01-22,1996-11-09
10012,1992-12-18,9999-01-01
10013,1985-10-20,9999-01-01
10014,1993-12-29,9999-01-01
10015,1992-09-19,1993-08-22
10016,1998-02-11,9999-01-01
10017,1993-08-03,9999-01-01
10018,1992-07-29,9999-01-01
10019,1999-04-30,9999-01-01
10020,1997-12-30,9999-01-01
10021,1988-02-10,2002-07-15
10022,1999-09-03,9999-01-01
10023,1999-09-27,9999-01-01
10024,1998-06-14,9999-01-01
10025,1987-08-17,1997-10-15
10026,1995-03-20,9999-01-01
10027,1995-04-02,9999-01-01
10028,1991-10-22,1998-04-06
10029,1999-07-08,9999-01-01
10030,1994-02-17,9999-01-01
10031,1991-09-01,9999-01-01
10032,1990-06-20,9999-01-01
10033,1987-03-18,1993-03-24
10034,1995-04-12,1999-10-31
10035,1988-09-05,9999-01-01
10036,1992-04-28,9999-01-01
10037,1990-12-05,9999-01-01
10038,1989-09-20,9999-01-01
10039,1988-01-19,9999-01-01
10040,2002-01-22,9999-01-01
10041,1989-11-12,9999-01-01
10042,1993-03-21,2000-08-10
10043,1990-10-20,9999-01-01
10044,1994-05-21,9999-01-01
10045,1996-11-16,9999-01-01
10046,1992-06-20,9999-01-01
10047,1989-03-31,9999-01-01
10048,1985-02-24,1987-01-27
10049,1992-05-04,9999-01-01
10050,1992-11-05,9999-01-01
10051,1992-10-15,9999-01-01
10052,1997-01-31,9999-01-01
10053,1994-11-13,9999-01-01
10054,1995-07-29,9999-01-01
10055,1992-04-27,1995-07-22
10056,1990-02-01,9999-01-01
10057,1992-01-15,9999-01-01
10058,1988-04-25,9999-01-01
10059,1991-06-26,9999-01-01
10060,1992-11-11,9999-01-01
10061,1989-12-02,9999-01-01
10062,1991-08-30,9999-01-01
10063,1989-04-08,9999-01-01
10064,1985-11-20,1992-03-02
10065,1998-05-24,9999-01-01
10066,1986-02-26,9999-01-01
10067,1987-03-04,9999-01-01
10068,1987-08-07,9999-01-01
10069,1992-06-14,9999-01-01
10070,1995-10-18,9999-01-01
10071,1995-08-05,9999-01-01
10072,1989-05-21,9999-01-01
10073,1998-02-02,1998-02-22
10074,1990-08-13,9999-01-01
10075,1988-05-17,2001-01-15
10076,1996-07-15,9999-01-01
10077,1994-12-23,9999-01-01
10078,1994-09-29,9999-01-01
10079,1995-12-13,9999-01-01
10080,1997-07-09,9999-01-01
10081,1986-10-30,9999-01-01
10082,1990-01-03,1990-01-15
10083,1987-03-31,9999-01-01
10084,1995-12-15,9999-01-01
10085,1994-04-09,9999-01-01
10086,1992-02-19,9999-01-01
10087,1997-05-08,2001-01-09
10088,1992-03-21,9999-01-01
10089,1989-01-10,9999-01-01
10090,1986-03-14,1999-05-07
10091,1992-11-18,9999-01-01
10092,1996-04-22,9999-01-01
10093,1997-06-08,9999-01-01
10094,1987-04-18,1997-11-08
10095,1994-03-10,9999-01-01
10096,1999-01-23,9999-01-01
10097,1990-09-15,9999-01-01
10098,1989-06-29,1992-12-11
10099,1988-10-18,9999-01-01
10100,1987-09-21,9999-01-01
10101,1998-10-14,2000-09-23
10102,1995-01-02,9999-01-01
10103,1998-01-12,9999-01-01
10104,1987-04-16,9999-01-01
10105,1999-05-17,2001-06-11
10106,1991-10-27,9999-01-01
10107,1999-03-30,9999-01-01
10108,1999-12-06,2001-10-20
10109,1993-06-16,9999-01-01
10110,1986-08-22,9999-01-01
10111,1988-12-19,9999-01-01
10112,1998-05-01,9999-01-01
10113,1998-09-14,9999-01-01
10114,1992-07-17,9999-01-01
